               |  auc   |              matrix constructor                  |        classifier          | # features
               | 0.6645 | m007b(cut_bound=17, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |    5543
               | 0.6640 | m007b(cut_bound=17, drop_bound=13, max_level=10) | LogisticRegression(C=0.02) |    4801
               | 0.6629 | m007b(cut_bound=16, drop_bound=16, max_level=10) | LogisticRegression(C=0.02) |    4803
               | 0.6619 | m007b(cut_bound=19, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |    6881
               | 0.6619 | m007b(cut_bound=19, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |    5449
               | 0.6622 | m007b(cut_bound=19, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |    5050
               | 0.6621 | m007b(cut_bound=19, drop_bound= 7, max_level=10) | LogisticRegression(C=0.02) |    4802
               | 0.6621 | m007b(cut_bound=19, drop_bound=10, max_level=10) | LogisticRegression(C=0.02) |    4550
               | 0.6618 | m007b(cut_bound=19, drop_bound=13, max_level=10) | LogisticRegression(C=0.02) |    4357
               | 0.6608 | m007b(cut_bound=19, drop_bound=16, max_level=10) | LogisticRegression(C=0.02) |    4213
               | 0.6606 | m007b(cut_bound=19, drop_bound=19, max_level=10) | LogisticRegression(C=0.02) |    4060
               | 0.6635 | m007b(cut_bound=20, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |    6655
               | 0.6633 | m007b(cut_bound=20, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |    5225
               | 0.6634 | m007b(cut_bound=20, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |    4829
               | 0.6635 | m007b(cut_bound=20, drop_bound= 7, max_level=10) | LogisticRegression(C=0.02) |    4588
               | 0.6633 | m007b(cut_bound=20, drop_bound=10, max_level=10) | LogisticRegression(C=0.02) |    4347
               | 0.6627 | m007b(cut_bound=20, drop_bound=13, max_level=10) | LogisticRegression(C=0.02) |    4160
               | 0.6626 | m007b(cut_bound=20, drop_bound=16, max_level=10) | LogisticRegression(C=0.02) |    4020
               | 0.6623 | m007b(cut_bound=20, drop_bound=19, max_level=10) | LogisticRegression(C=0.02) |    3888
               | 0.6631 | m007b(cut_bound=20, drop_bound=20, max_level=10) | LogisticRegression(C=0.02) |    3836
               | 0.6650 | m007b(cut_bound=30, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |    5381
               | 0.6650 | m007b(cut_bound=30, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |    3965
               | 0.6651 | m007b(cut_bound=30, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |    3581
               | 0.6644 | m007b(cut_bound=30, drop_bound= 7, max_level=10) | LogisticRegression(C=0.02) |    3357
               | 0.6640 | m007b(cut_bound=30, drop_bound=10, max_level=10) | LogisticRegression(C=0.02) |    3149
               | 0.6641 | m007b(cut_bound=30, drop_bound=13, max_level=10) | LogisticRegression(C=0.02) |    2996
               | 0.6643 | m007b(cut_bound=30, drop_bound=16, max_level=10) | LogisticRegression(C=0.02) |    2887
               | 0.6639 | m007b(cut_bound=30, drop_bound=19, max_level=10) | LogisticRegression(C=0.02) |    2805
               | 0.6637 | m007b(cut_bound=30, drop_bound=20, max_level=10) | LogisticRegression(C=0.02) |    2786
               | 0.6630 | m007b(cut_bound=30, drop_bound=30, max_level=10) | LogisticRegression(C=0.02) |    2555
